,tic_p3,filename,anomaly_score_p3,tic_p9,anomaly_score_p9,is_toi,importance_score,normalized_score,score_sum,score_weighted_root_sum,score_sum_norm,score_weighted_root_sumnorm,matched_label,label_group,similarity_score
5589,316991996.0,tess2018206045859-s0001-0000000316991996-0120-s_lc.fits,0.0160642570281124,316991996.0,0.0120481927710843,False,,,0.01285140562248992,0.12334873208185435,0.007323026851098492,0.06153744076643407,outlier,outlier,0.39330160224678035
5590,316992294.0,tess2018206045859-s0001-0000000316992294-0120-s_lc.fits,0.0301204819277108,316992294.0,0.0301204819277108,False,,,0.0301204819277108,0.1735525336251557,0.02481692432872257,0.11561644368250369,Pl,planet_like,0.8789251533105957
5591,317016534.0,tess2018206045859-s0001-0000000317016534-0120-s_lc.fits,0.1887550200803212,317016534.0,0.2771084337349397,False,,,0.259437751004016,0.4528497455178372,0.25711960943856793,0.41647244008283535,outlier,outlier,0.5514486783024406
5592,317019234.0,tess2018206045859-s0001-0000000317019234-0120-s_lc.fits,0.144578313253012,317019234.0,0.3313253012048193,False,,,0.29397590361445786,0.4193093673417856,0.2921074043938162,0.380343100203577,outlier,outlier,0.40752073901161845
5593,317019189.0,tess2018206045859-s0001-0000000317019189-0120-s_lc.fits,0.0963855421686746,317019189.0,0.0481927710843373,False,,,0.05783132530120477,0.29227387222190254,0.052888527257933304,0.2435018113002438,err,outlier,0.6372544359664397
5594,317019578.0,tess2018206045859-s0001-0000000317019578-0120-s_lc.fits,0.0602409638554216,317019578.0,0.1686746987951807,False,,,0.1469879518072289,0.27849232830836634,0.14320585842148092,0.22865647826614588,outlier,outlier,0.5034224751876398
5595,317019303.0,tess2018206045859-s0001-0000000317019303-0120-s_lc.fits,0.004016064257028,317019303.0,0.0301204819277108,False,,,0.02489959839357424,0.08540844676698867,0.019528071602929232,0.02066856755153504,outlier,outlier,0.39309942285765864
5596,317020182.0,tess2018206045859-s0001-0000000317020182-0120-s_lc.fits,0.0602409638554216,317020182.0,0.1566265060240963,False,,,0.13734939759036138,0.27550441099076406,0.13344182262001625,0.22543792540033908,outlier,outlier,0.4008884112077076
5597,317021841.0,tess2018206045859-s0001-0000000317021841-0120-s_lc.fits,0.004016064257028,317021841.0,0.0120481927710843,False,,,0.010441767068273041,0.07265079203989556,0.00488201790073233,0.006926157096948007,err,outlier,0.8250050981016553
5598,317058743.0,tess2018206045859-s0001-0000000317058743-0120-s_lc.fits,0.0060240963855421,317058743.0,0.0662650602409639,False,,,0.05421686746987955,0.11357604354860629,0.04922701383238415,0.051010404258421266,PM*,stellar,0.6172023704159268
