,tic,ra,dec,simbad_main_id,simbad_label,is_tic_named
156,415969574,342.170318820223,-18.52045037899,TOI-342.01,err,False
157,66497310,356.04531567822,-18.889511086095,TOI-343,*,False
158,13023378,347.0535962856,-28.0078377933797,TOI-344.01,Pl?,False
159,308208458,5.69696551315694,-34.3921345591304,TOI-345,*,False
160,118327533,10.3444827412184,-37.3429998519077,TOI-346.01,Pl?,False
161,224271611,354.489854243266,-36.5715824936818,CD-37 15320,*,False
162,70785910,1.58361323644487,-30.3362785609701,TOI-348.01,Pl?,False
163,382474101,12.274293,-52.046527,CD-52   151B,*,False
164,199731190,21.2919773966227,-47.2629468310711,TOI-350,*,False
165,47423120,342.067501238683,-24.8385973087088,TOI-352.01,err,False
166,100097716,24.0477149012911,-42.3037676909063,CD-42   557,*,False
167,183593642,17.8880170981634,-36.7090989788583,TOI-355,SB*,False
168,369336146,6.06994705631628,-37.2220729841054,TOI-356,*,False
169,220016044,32.3217919182809,-48.484723613921,CD-49   596,SB*,False
170,321982642,3.06095461507056,-47.3554172243444,TOI-358,*,False
171,80432617,11.673101796423,-42.3617520716244,TOI-359,*,False
172,13023738,347.084792687986,-29.5903195009421,TOI-360,*,False
173,305048116,353.238177973563,-28.3197783540777,TOI-362.01,Pl?,False
174,262530780,20.5472858351972,-44.8619570645987,TOI-363,*,False
175,47425697,342.256104901987,-24.9592447780441,TOI-364.01,Pl?,False
176,118586896,10.9223007859653,-38.0431672797095,TOI-365,*,False
177,251878904,9.69198026876202,-34.2149038928365,TOI-366,*,False
178,9033144,349.606182109168,-19.8239157912515,TOI-367.01,err,False
179,77031413,354.170176645956,-34.6118548397169,TOI-368.01,err,False
180,175482273,351.229159726308,-38.1607790675552,HD 220559B,*,False
181,251855940,8.65967154991842,-32.1665276947145,TOI-370,*,False
182,156016136,8.92383703057893,-50.3169780131587,TOI-371.01,Pl?,False
183,441075486,359.759015214703,-15.6120039614263,TOI-372.01,err,False
184,9032368,355.90186934398,-11.2694965396419,TOI-373,*,False
185,183675732,358.227441680836,-41.7004803224324,TOI-374,*,False
186,280097543,47.149997873427,-77.3833091106381,TOI-375,*,False
187,139285736,348.03982099208,-45.0171326726725,TOI-377,*,False
188,20892672,1.39901415590656,-19.4895107133531,** TOI  378A,*,False
189,220396259,68.8915559928341,-56.1387005118947,TOI-379.01,err,False
190,207084429,22.7565940031505,-51.215432348134,TOI-381.01,err,False
191,229091748,3.79771602867514,-46.2724286857392,TOI-382.01,err,False
192,167418898,99.6095152377109,-67.6561731800613,TOI-383.01,err,False
193,155995204,7.65854607582995,-52.0493754273401,TOI-384,*,False
194,300810086,116.814122238378,-69.0307001919633,TOI-385.01,Pl?,False
195,238059180,104.138381000068,-53.5454928210139,TOI-386.01,Pl?,False
196,176984236,101.909535392822,-66.3283246256499,TOI-405.01,err,False
197,167754523,104.181646593159,-60.6869882693656,CD-60  1611B,PM*,False
198,339733013,110.852069155288,-58.6967658732711,TOI-417.01,err,False
199,279251651,104.155226017859,-59.1832644919638,TOI-419.01,err,False
200,38603673,64.4149508582623,-61.3921026532819,TOI-459.01,err,False
201,260708537,98.4582157073925,-58.5284581626944,NAME L 182-44b,Pl,False
202,31852980,52.5405461759009,-70.3995837727726,Gaia DR3 4643107591144211456,*,False
203,238004786,102.568418842922,-53.0056451066843,TOI-539,*,False
204,207110080,42.2915006034554,-58.0246994414893,TOI-558,*,False
205,287329267,109.783582492625,-59.3020745975438,TOI-595.01,err,False
206,238197709,57.2655184938892,-72.9474079084267,TOI-646,SB*,False
207,55559618,73.138450000169,-64.9293279311471,TOI-695.01,err,False
208,141527579,87.7361339356151,-76.6202898967303,TOI-698.01,Pl?,False
209,149302744,83.3823167240609,-62.1091229404407,TOI-699.02,Pl?,False
210,237914496,56.1752031537193,-65.1991088719746,LEHPM 3494,PM*,False
211,237928815,57.9995764658978,-59.8825831072195,TOI-703.02,Pl?,False
212,260004324,91.0848284051073,-55.3130105535792,NAME L 181-1b,Pl,False
213,391904697,106.477322101419,-72.5588627410855,TOI-705.01,Pl?,False
214,167342439,98.7297577831179,-67.5372255493795,TOI-707.01,Pl?,False
215,391821647,82.7647753434668,-70.3572782621111,TOI-708.01,err,False
216,38510224,62.5160788330374,-61.9424615291508,TOI-711.01,Pl?,False
217,271971130,113.851069121844,-73.5774518610007,TOI-715,PM*,False
218,150247134,94.1674784667199,-62.6485525911497,TOI-718.01,Pl?,False
219,38571020,63.1991443666998,-64.3475713510065,TYC 8872-1004-1,PM*,False
220,38509907,62.3783953746301,-62.8513709299,SCR J0409-6251,PM*,False
221,260304800,94.5355126905865,-57.5588376533121,TOI-738,*,False
222,167418903,99.620831182332,-67.6489776563274,TOI-746,SB*,False
223,374829238,88.3374489568932,-65.6339403024196,TOI-785.01,Pl?,False
224,350584963,87.1158476049831,-56.0041312850157,CD-56  1320,*,False
225,300710077,115.268484216621,-71.3044021862841,TOI-789.01,Pl?,False
226,300013921,107.133956378408,-68.3688873704801,TOI-793.01,Pl?,False
227,299945285,106.664858637524,-71.4467518524627,TYC 9186-821-1,*,False
228,278895705,100.970368532898,-55.6390548975889,TYC 8540-796-1,*,False
229,271596225,108.561734606872,-74.6025441369553,TOI-797.01,Pl?,False
230,179308757,79.7658924859698,-69.6379283873666,BI 141,s*b,False
231,167303382,97.986392250647,-68.709863521575,TOI-802.01,Pl?,False
232,41227743,91.519877,-69.420275,TOI-804.01,Pl?,False
233,33831980,63.4168248887367,-76.0976932742671,TOI-806,PM*,False
234,30853470,75.9154293917689,-66.6551572493693,TOI-807.01,Pl?,False
235,149301575,82.9794440232856,-60.4771161513891,TOI-809.01,Pl?,False
236,388106759,62.8542414988536,-69.4749387817936,TOI-810.01,Pl?,False
237,255760319,99.7145804575706,-53.1075236620701,CD-52  1625,*,False
238,30312676,74.2867684629208,-66.3903335287963,TOI-817.01,err,False
239,238932509,94.9428848596023,-53.2267719321389,TOI-841,*,False
240,141768070,91.9374190789248,-73.3917326943051,TOI-842,*,False
241,231289421,43.8754467881738,-53.6655543396201,** TOI  847B,*,False
242,150430484,97.1432450578652,-61.1504867822897,TOI-859,PM*,False
243,381976956,77.5468146323074,-57.5866694957188,TOI-866.01,Pl?,False
244,358460246,119.014416238293,-64.9414641769665,TOI-867,PM*,False
245,271596418,108.567957016195,-74.9707865532536,TOI-868.01,err,False
246,220459826,74.8680339571313,-55.929206410869,TOI-872,*,False
247,237920046,56.7343236175195,-63.3373008270785,LEHPM 3519,PM*,False
248,238197638,57.4889699778707,-72.7937874555125,TOI-903.01,Pl?,False
249,207237016,49.8163550158506,-59.4001595453813,TYC 8499-913-1,*,False
250,294869729,71.7991873962309,-68.9856723247407,TOI-918.01,Pl?,False
251,278775625,99.6742017304073,-56.2206838447252,TOI-921.01,Pl?,False
252,382068562,79.6569267974686,-55.8887964821898,TOI-924.01,Pl?,False
253,300599466,113.047629861533,-68.0122918819868,** TOI  925A,*,False
254,260417932,95.9412454213859,-54.578174861495,TOI-932.01,Pl?,False
255,260476837,96.248197421695,-59.8048105149775,TOI-935.01,err,False
256,141482386,86.8206978708729,-72.4226602877397,HD 271590,*,False
257,374908020,88.73909,-65.958839,TOI-1029.01,err,False
