tic,filename,anomaly_score
25133052,tess2018206045859-s0001-0000000025133052-0120-s_lc.fits,0.0
25132893,tess2018206045859-s0001-0000000025132893-0120-s_lc.fits,0.0
25133068,tess2018206045859-s0001-0000000025133068-0120-s_lc.fits,0.0
25135970,tess2018206045859-s0001-0000000025135970-0120-s_lc.fits,None
25136499,tess2018206045859-s0001-0000000025136499-0120-s_lc.fits,None
25133286,tess2018206045859-s0001-0000000025133286-0120-s_lc.fits,0.0
25136780,tess2018206045859-s0001-0000000025136780-0120-s_lc.fits,None
25133636,tess2018206045859-s0001-0000000025133636-0120-s_lc.fits,0.0
25133604,tess2018206045859-s0001-0000000025133604-0120-s_lc.fits,0.0
25134376,tess2018206045859-s0001-0000000025134376-0120-s_lc.fits,0.0
25153007,tess2018206045859-s0001-0000000025153007-0120-s_lc.fits,None
25153041,tess2018206045859-s0001-0000000025153041-0120-s_lc.fits,None
25153167,tess2018206045859-s0001-0000000025153167-0120-s_lc.fits,None
25134377,tess2018206045859-s0001-0000000025134377-0120-s_lc.fits,0.0
25134442,tess2018206045859-s0001-0000000025134442-0120-s_lc.fits,0.0
25134567,tess2018206045859-s0001-0000000025134567-0120-s_lc.fits,0.0
25136560,tess2018206045859-s0001-0000000025136560-0120-s_lc.fits,0.0
25137423,tess2018206045859-s0001-0000000025137423-0120-s_lc.fits,0.0
25153404,tess2018206045859-s0001-0000000025153404-0120-s_lc.fits,0.0
25139818,tess2018206045859-s0001-0000000025139818-0120-s_lc.fits,0.0
25153109,tess2018206045859-s0001-0000000025153109-0120-s_lc.fits,0.0
25154399,tess2018206045859-s0001-0000000025154399-0120-s_lc.fits,0.0
25153544,tess2018206045859-s0001-0000000025153544-0120-s_lc.fits,0.0
25153635,tess2018206045859-s0001-0000000025153635-0120-s_lc.fits,0.0
25155310,tess2018206045859-s0001-0000000025155310-0120-s_lc.fits,0.0
25155612,tess2018206045859-s0001-0000000025155612-0120-s_lc.fits,0.0
25155510,tess2018206045859-s0001-0000000025155510-0120-s_lc.fits,0.0
25155664,tess2018206045859-s0001-0000000025155664-0120-s_lc.fits,0.0
25167696,tess2018206045859-s0001-0000000025167696-0120-s_lc.fits,None
25155698,tess2018206045859-s0001-0000000025155698-0120-s_lc.fits,0.0
25170114,tess2018206045859-s0001-0000000025170114-0120-s_lc.fits,None
25156036,tess2018206045859-s0001-0000000025156036-0120-s_lc.fits,0.0
25194993,tess2018206045859-s0001-0000000025194993-0120-s_lc.fits,None
25165839,tess2018206045859-s0001-0000000025165839-0120-s_lc.fits,0.0
25165579,tess2018206045859-s0001-0000000025165579-0120-s_lc.fits,0.0
25155713,tess2018206045859-s0001-0000000025155713-0120-s_lc.fits,0.0
25200060,tess2018206045859-s0001-0000000025200060-0120-s_lc.fits,None
25196356,tess2018206045859-s0001-0000000025196356-0120-s_lc.fits,None
25200252,tess2018206045859-s0001-0000000025200252-0120-s_lc.fits,None
25167586,tess2018206045859-s0001-0000000025167586-0120-s_lc.fits,0.0
25170085,tess2018206045859-s0001-0000000025170085-0120-s_lc.fits,0.0
25170460,tess2018206045859-s0001-0000000025170460-0120-s_lc.fits,0.0
25167840,tess2018206045859-s0001-0000000025167840-0120-s_lc.fits,0.0
25196278,tess2018206045859-s0001-0000000025196278-0120-s_lc.fits,0.0
25202447,tess2018206045859-s0001-0000000025202447-0120-s_lc.fits,0.0
25195850,tess2018206045859-s0001-0000000025195850-0120-s_lc.fits,0.0
25225564,tess2018206045859-s0001-0000000025225564-0120-s_lc.fits,0.0
25226885,tess2018206045859-s0001-0000000025226885-0120-s_lc.fits,0.0
25230545,tess2018206045859-s0001-0000000025230545-0120-s_lc.fits,0.0
25228605,tess2018206045859-s0001-0000000025228605-0120-s_lc.fits,0.0
25243422,tess2018206045859-s0001-0000000025243422-0120-s_lc.fits,0.0050000000000000044
25244906,tess2018206045859-s0001-0000000025244906-0120-s_lc.fits,0.0
25245547,tess2018206045859-s0001-0000000025245547-0120-s_lc.fits,0.0
25245570,tess2018206045859-s0001-0000000025245570-0120-s_lc.fits,0.0
25244716,tess2018206045859-s0001-0000000025244716-0120-s_lc.fits,0.0
25245855,tess2018206045859-s0001-0000000025245855-0120-s_lc.fits,0.0
25245922,tess2018206045859-s0001-0000000025245922-0120-s_lc.fits,0.0
25246985,tess2018206045859-s0001-0000000025246985-0120-s_lc.fits,0.0
25247445,tess2018206045859-s0001-0000000025247445-0120-s_lc.fits,0.0
25283002,tess2018206045859-s0001-0000000025283002-0120-s_lc.fits,0.0
25282940,tess2018206045859-s0001-0000000025282940-0120-s_lc.fits,0.0
25284465,tess2018206045859-s0001-0000000025284465-0120-s_lc.fits,0.0
25282861,tess2018206045859-s0001-0000000025282861-0120-s_lc.fits,0.0
25285103,tess2018206045859-s0001-0000000025285103-0120-s_lc.fits,0.0
25299762,tess2018206045859-s0001-0000000025299762-0120-s_lc.fits,0.0050000000000000044
25285075,tess2018206045859-s0001-0000000025285075-0120-s_lc.fits,0.0
25285374,tess2018206045859-s0001-0000000025285374-0120-s_lc.fits,0.0
25300347,tess2018206045859-s0001-0000000025300347-0120-s_lc.fits,0.0
25300361,tess2018206045859-s0001-0000000025300361-0120-s_lc.fits,0.0
25300088,tess2018206045859-s0001-0000000025300088-0120-s_lc.fits,0.0
25300818,tess2018206045859-s0001-0000000025300818-0120-s_lc.fits,0.0
25350326,tess2018206045859-s0001-0000000025350326-0120-s_lc.fits,0.0
25350747,tess2018206045859-s0001-0000000025350747-0120-s_lc.fits,0.0050000000000000044
25301292,tess2018206045859-s0001-0000000025301292-0120-s_lc.fits,0.0
25351345,tess2018206045859-s0001-0000000025351345-0120-s_lc.fits,0.0
25352261,tess2018206045859-s0001-0000000025352261-0120-s_lc.fits,0.0
25351646,tess2018206045859-s0001-0000000025351646-0120-s_lc.fits,0.0
25353710,tess2018206045859-s0001-0000000025353710-0120-s_lc.fits,0.0
25355566,tess2018206045859-s0001-0000000025355566-0120-s_lc.fits,0.0
25356351,tess2018206045859-s0001-0000000025356351-0120-s_lc.fits,0.0
25356194,tess2018206045859-s0001-0000000025356194-0120-s_lc.fits,0.0
25357744,tess2018206045859-s0001-0000000025357744-0120-s_lc.fits,0.0
25373148,tess2018206045859-s0001-0000000025373148-0120-s_lc.fits,None
25357756,tess2018206045859-s0001-0000000025357756-0120-s_lc.fits,0.0
25358793,tess2018206045859-s0001-0000000025358793-0120-s_lc.fits,0.0
25358020,tess2018206045859-s0001-0000000025358020-0120-s_lc.fits,0.0
25372748,tess2018206045859-s0001-0000000025372748-0120-s_lc.fits,0.0
25357782,tess2018206045859-s0001-0000000025357782-0120-s_lc.fits,0.0
25374751,tess2018206045859-s0001-0000000025374751-0120-s_lc.fits,0.0
25375552,tess2018206045859-s0001-0000000025375552-0120-s_lc.fits,0.0
25374561,tess2018206045859-s0001-0000000025374561-0120-s_lc.fits,0.0
25375553,tess2018206045859-s0001-0000000025375553-0120-s_lc.fits,0.0
29189156,tess2018206045859-s0001-0000000029189156-0120-s_lc.fits,0.0
25375770,tess2018206045859-s0001-0000000025375770-0120-s_lc.fits,0.0050000000000000044
29189207,tess2018206045859-s0001-0000000029189207-0120-s_lc.fits,0.0
25375915,tess2018206045859-s0001-0000000025375915-0120-s_lc.fits,0.0
29253938,tess2018206045859-s0001-0000000029253938-0120-s_lc.fits,0.0
29255834,tess2018206045859-s0001-0000000029255834-0120-s_lc.fits,0.0
29257211,tess2018206045859-s0001-0000000029257211-0120-s_lc.fits,0.0
29285387,tess2018206045859-s0001-0000000029285387-0120-s_lc.fits,None
29281339,tess2018206045859-s0001-0000000029281339-0120-s_lc.fits,0.0
29260474,tess2018206045859-s0001-0000000029260474-0120-s_lc.fits,0.0
29257288,tess2018206045859-s0001-0000000029257288-0120-s_lc.fits,0.0050000000000000044
29281750,tess2018206045859-s0001-0000000029281750-0120-s_lc.fits,0.0
29281992,tess2018206045859-s0001-0000000029281992-0120-s_lc.fits,0.0
29284027,tess2018206045859-s0001-0000000029284027-0120-s_lc.fits,0.0
29285612,tess2018206045859-s0001-0000000029285612-0120-s_lc.fits,0.0
29287204,tess2018206045859-s0001-0000000029287204-0120-s_lc.fits,0.0
29344935,tess2018206045859-s0001-0000000029344935-0120-s_lc.fits,0.0
29344151,tess2018206045859-s0001-0000000029344151-0120-s_lc.fits,0.0
29348570,tess2018206045859-s0001-0000000029348570-0120-s_lc.fits,0.0
29430569,tess2018206045859-s0001-0000000029430569-0120-s_lc.fits,None
29346756,tess2018206045859-s0001-0000000029346756-0120-s_lc.fits,0.0
29389596,tess2018206045859-s0001-0000000029389596-0120-s_lc.fits,0.0
29388651,tess2018206045859-s0001-0000000029388651-0120-s_lc.fits,0.0
29390897,tess2018206045859-s0001-0000000029390897-0120-s_lc.fits,0.0
29392968,tess2018206045859-s0001-0000000029392968-0120-s_lc.fits,0.0
29430495,tess2018206045859-s0001-0000000029430495-0120-s_lc.fits,0.0
29393000,tess2018206045859-s0001-0000000029393000-0120-s_lc.fits,0.0
29431427,tess2018206045859-s0001-0000000029431427-0120-s_lc.fits,0.0
29432990,tess2018206045859-s0001-0000000029432990-0120-s_lc.fits,0.0
29433169,tess2018206045859-s0001-0000000029433169-0120-s_lc.fits,0.0
29437243,tess2018206045859-s0001-0000000029437243-0120-s_lc.fits,0.0
29475080,tess2018206045859-s0001-0000000029475080-0120-s_lc.fits,0.0
29435548,tess2018206045859-s0001-0000000029435548-0120-s_lc.fits,0.0
29476779,tess2018206045859-s0001-0000000029476779-0120-s_lc.fits,0.0
29493050,tess2018206045859-s0001-0000000029493050-0120-s_lc.fits,None
29476151,tess2018206045859-s0001-0000000029476151-0120-s_lc.fits,0.0
29477348,tess2018206045859-s0001-0000000029477348-0120-s_lc.fits,0.0
29477026,tess2018206045859-s0001-0000000029477026-0120-s_lc.fits,0.0
29477619,tess2018206045859-s0001-0000000029477619-0120-s_lc.fits,0.0
29478974,tess2018206045859-s0001-0000000029478974-0120-s_lc.fits,0.0
29494625,tess2018206045859-s0001-0000000029494625-0120-s_lc.fits,0.0
29493647,tess2018206045859-s0001-0000000029493647-0120-s_lc.fits,0.0
29495056,tess2018206045859-s0001-0000000029495056-0120-s_lc.fits,0.0
29493969,tess2018206045859-s0001-0000000029493969-0120-s_lc.fits,0.0
29495095,tess2018206045859-s0001-0000000029495095-0120-s_lc.fits,0.0
29495314,tess2018206045859-s0001-0000000029495314-0120-s_lc.fits,0.0
29495621,tess2018206045859-s0001-0000000029495621-0120-s_lc.fits,0.0
29499461,tess2018206045859-s0001-0000000029499461-0120-s_lc.fits,0.0
29541905,tess2018206045859-s0001-0000000029541905-0120-s_lc.fits,0.0
29497299,tess2018206045859-s0001-0000000029497299-0120-s_lc.fits,0.0
29498496,tess2018206045859-s0001-0000000029498496-0120-s_lc.fits,0.0
29543294,tess2018206045859-s0001-0000000029543294-0120-s_lc.fits,0.0
29580928,tess2018206045859-s0001-0000000029580928-0120-s_lc.fits,None
29543573,tess2018206045859-s0001-0000000029543573-0120-s_lc.fits,0.0
29546586,tess2018206045859-s0001-0000000029546586-0120-s_lc.fits,0.0
29545491,tess2018206045859-s0001-0000000029545491-0120-s_lc.fits,0.0
29547433,tess2018206045859-s0001-0000000029547433-0120-s_lc.fits,0.0
29579897,tess2018206045859-s0001-0000000029579897-0120-s_lc.fits,0.0
29583588,tess2018206045859-s0001-0000000029583588-0120-s_lc.fits,0.0
29581284,tess2018206045859-s0001-0000000029581284-0120-s_lc.fits,0.0
29636302,tess2018206045859-s0001-0000000029636302-0120-s_lc.fits,0.0
29637903,tess2018206045859-s0001-0000000029637903-0120-s_lc.fits,0.0
29639766,tess2018206045859-s0001-0000000029639766-0120-s_lc.fits,0.0
29640214,tess2018206045859-s0001-0000000029640214-0120-s_lc.fits,0.0
29638934,tess2018206045859-s0001-0000000029638934-0120-s_lc.fits,0.0
29640672,tess2018206045859-s0001-0000000029640672-0120-s_lc.fits,0.0
29667366,tess2018206045859-s0001-0000000029667366-0120-s_lc.fits,0.0
29666185,tess2018206045859-s0001-0000000029666185-0120-s_lc.fits,0.0
29667425,tess2018206045859-s0001-0000000029667425-0120-s_lc.fits,0.0
29666611,tess2018206045859-s0001-0000000029666611-0120-s_lc.fits,0.0
29669091,tess2018206045859-s0001-0000000029669091-0120-s_lc.fits,0.0
29669751,tess2018206045859-s0001-0000000029669751-0120-s_lc.fits,0.0
29669818,tess2018206045859-s0001-0000000029669818-0120-s_lc.fits,0.0
29670036,tess2018206045859-s0001-0000000029670036-0120-s_lc.fits,0.0
29671013,tess2018206045859-s0001-0000000029671013-0120-s_lc.fits,0.0
29671923,tess2018206045859-s0001-0000000029671923-0120-s_lc.fits,0.0
29717216,tess2018206045859-s0001-0000000029717216-0120-s_lc.fits,0.0
29717176,tess2018206045859-s0001-0000000029717176-0120-s_lc.fits,0.0
29716978,tess2018206045859-s0001-0000000029716978-0120-s_lc.fits,0.0
29716907,tess2018206045859-s0001-0000000029716907-0120-s_lc.fits,0.0
29753876,tess2018206045859-s0001-0000000029753876-0120-s_lc.fits,None
29720429,tess2018206045859-s0001-0000000029720429-0120-s_lc.fits,0.0
