variant,threshold_percent,n_tois_flagged,avg_normalized_importance,max_normalized_importance
urf4_model_variant_n100_d27_c10_n50ppm_anomaly_scores_sector_2,70,34,0.1004626630891324,1.0
urf4_model_variant_n100_d27_c10_n50ppm_anomaly_scores_sector_2,80,38,0.08991174594577762,1.0
urf4_model_variant_n100_d27_c10_n50ppm_anomaly_scores_sector_2,90,43,0.07956840717010323,1.0
urf4_model_variant_n100_d27_c10_n50ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n100_d27_c2_n100ppm_anomaly_scores_sector_2,10,10,0.2332496924825898,1.0
urf4_model_variant_n100_d27_c2_n100ppm_anomaly_scores_sector_2,20,14,0.22450369666060901,1.0
urf4_model_variant_n100_d27_c2_n100ppm_anomaly_scores_sector_2,30,18,0.18189373200356107,1.0
urf4_model_variant_n100_d27_c2_n100ppm_anomaly_scores_sector_2,40,23,0.1426681152855599,1.0
urf4_model_variant_n100_d27_c2_n100ppm_anomaly_scores_sector_2,50,30,0.10955171264141605,1.0
urf4_model_variant_n100_d27_c2_n100ppm_anomaly_scores_sector_2,60,35,0.09423188604034435,1.0
urf4_model_variant_n100_d27_c2_n100ppm_anomaly_scores_sector_2,70,39,0.0846013069892542,1.0
urf4_model_variant_n100_d27_c2_n100ppm_anomaly_scores_sector_2,80,43,0.07676920595394189,1.0
urf4_model_variant_n100_d27_c2_n100ppm_anomaly_scores_sector_2,90,47,0.07301868755608223,1.0
urf4_model_variant_n100_d27_c2_n100ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n100_d27_c2_n200ppm_anomaly_scores_sector_2,10,10,0.23324969248258984,1.0
urf4_model_variant_n100_d27_c2_n200ppm_anomaly_scores_sector_2,20,16,0.2019330109671146,1.0
urf4_model_variant_n100_d27_c2_n200ppm_anomaly_scores_sector_2,30,22,0.1490750435661272,1.0
urf4_model_variant_n100_d27_c2_n200ppm_anomaly_scores_sector_2,40,26,0.12663367867788528,1.0
urf4_model_variant_n100_d27_c2_n200ppm_anomaly_scores_sector_2,50,28,0.12219921965718168,1.0
urf4_model_variant_n100_d27_c2_n200ppm_anomaly_scores_sector_2,60,31,0.11049043829533399,1.0
urf4_model_variant_n100_d27_c2_n200ppm_anomaly_scores_sector_2,70,34,0.10085632337733835,1.0
urf4_model_variant_n100_d27_c2_n200ppm_anomaly_scores_sector_2,80,38,0.09027720971663031,1.0
urf4_model_variant_n100_d27_c2_n200ppm_anomaly_scores_sector_2,90,43,0.07979928480936385,1.0
urf4_model_variant_n100_d27_c2_n200ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n100_d27_c2_n50ppm_anomaly_scores_sector_2,10,10,0.23324969248258984,1.0
urf4_model_variant_n100_d27_c2_n50ppm_anomaly_scores_sector_2,20,18,0.18078119533156065,1.0
urf4_model_variant_n100_d27_c2_n50ppm_anomaly_scores_sector_2,30,19,0.17132972934016122,1.0
urf4_model_variant_n100_d27_c2_n50ppm_anomaly_scores_sector_2,40,24,0.13576690312895442,1.0
urf4_model_variant_n100_d27_c2_n50ppm_anomaly_scores_sector_2,50,33,0.10310432614319384,1.0
urf4_model_variant_n100_d27_c2_n50ppm_anomaly_scores_sector_2,60,35,0.09722215521437232,1.0
urf4_model_variant_n100_d27_c2_n50ppm_anomaly_scores_sector_2,70,37,0.09204322606546621,1.0
urf4_model_variant_n100_d27_c2_n50ppm_anomaly_scores_sector_2,80,41,0.08312122003663888,1.0
